employer,link,postcode,employed
Lloyds Banking Group,https://www.lloydsbankinggroup.com/,,1
LOCOG,https://en.wikipedia.org/wiki/London_Organising_Committee_of_the_Olympic_and_Paralympic_Games,,1
LucasFilm,https://www.lucasfilm.com/,,1
MagmaDigital,https://www.magmadigital.co.uk/,,1
Marks & Clerk,https://www.marks-clerk.com/,,1
Marvell,https://www.marvell.com/,,1
Matillion,https://www.matillion.com/,,1
McAfee,https://www.mcafee.com/,,1
MediaBurst,https://www.mediaburst.co.uk/,,1
Mentor Graphics,https://www.mentor.com/,,1
MetOffice,https://www.metoffice.gov.uk/,,1
Micron,https://www.micron.com/,,1
Microsoft,https://www.microsoft.com,,1
Mindtrace,https://www.mindtrace.ai/,,1
Ministry of Justice,https://www.gov.uk/government/organisations/ministry-of-justice,,1
Moneysupermarket,https://www.moneysupermarket.com/,,1
Monoprix,https://www.monoprix.fr/,,1
Morgan Stanley,https://www.morganstanley.com/,,1
Motorola,https://www.motorola.co.uk/,,1
NantHealth,https://nanthealth.com/,,1
NCC Group,https://www.nccgroup.com/,,1
Netcraft,https://www.netcraft.com/,,1
Netronome,https://www.netronome.com/,,1
Network Rail,https://www.networkrail.co.uk/,,1
Neusentis-Pfizer,https://www.pfizer.com/,,1
NHS Digital,https://digital.nhs.uk/,,1
Nokia,https://www.nokia.com/,,1
Nomura,https://www.nomura.com/,,1
Novacoast,https://www.novacoast.com/,,1
Nvidia,https://www.nvidia.com/,,1
Ocado Technology,https://www.ocadogroup.com/,,1
OCLC,https://www.oclc.org/,,1
ON Semiconductor,https://www.onsemi.com/,,1
OpenLX,https://www.oclc.org/,,1
OpenShadow,https://beta.companieshouse.gov.uk/company/05456366,,1
Oracle,https://www.oracle.com/,,1
PA Consulting,https://www.paconsulting.com/,,1
Palantir,https://www.palantir.com/,,1
Peak,https://peak.ai/,M1 4ET,1
Peraso Technology,https://perasotech.com/,,1
PiFace,http://www.piface.org.uk,,1
PlusNet,https://www.plus.net/,,1
Plymouth Marine Laboratory,https://pml.ac.uk,,1
PriceWaterhouseCoopers ,https://www.pwc.co.uk/,,1
Procter & Gamble,https://www.pg.co.uk/,,1
Qualcomm,https://www.qualcomm.com/,,1
Qubit Products,https://www.qubit.com/,,1
Rare Games,https://www.rare.co.uk/,,1
Real VNC,https://www.realvnc.com/,,1
Red Bull Advanced Technologies,https://www.redbulladvancedtechnologies.com/,,1
RedGate software,https://www.red-gate.com/,,1
RedHat,https://www.redhat.com/,,1
Ribot,https://ribot.co.uk,,1
Royal Bank of Scotland,https://www.rbs.co.uk/,,1
Rutherford Appleton Laboratory ,https://stfc.ukri.org/about-us/where-we-work/rutherford-appleton-laboratory/,,1
Sabisu,http://www.sabisu.co/,,1
Sainsburys Digital,https://sainsburys.jobs/,,1
Samsung,https://www.samsung.com/,,1
SAP AG,https://www.sap.com/,,1
Schlumberger,https://www.slb.com/,,1
Science and Technology Facilities Council (STFC),https://stfc.ukri.org/,,1
ServiceNow,https://www.servicenow.com/,,1
Shell,https://www.shell.co.uk/,,1
Shout Platform,https://shoutplatform.com/,,1
Siemens,https://www.siemens.com,,1
Sigmavision,https://treadreader.sigmavision.com/,,1
SKY,https://www.sky.com/,,1
Soda Software,https://hellosoda.com/,,1
Sodexo,https://www.sodexo.com/,,1
Sophos,https://www.sophos.com/,,1
Space48,https://www.space48.com/,,1
SpecTec,https://www.spectec.net/,,1
Start Up Factory,https://thestartupfactory.tech/,,1
SteamaCo,https://steama.co/,,1
Studio 40,https://www.studio-40.com/,,1
SynSense,https://www.synsense-neuromorphic.com/,,1
T-Systems,https://www.t-systems.com/,,1
TalkTalkGroup,https://www.talktalkgroup.com/,,1
Tata Group,https://www.tata.com/,,1
Team Netsol,https://www.teamnetsol.com/,,1
Thales Group,https://www.thales.com/,,1
THG,https://www.thg.com/,,1
ThoughtWorks,https://www.thoughtworks.com/,,1
TopCashBack,https://www.topcashback.co.uk/,,1
TPP,https://www.tpp-uk.com/,,1
Traveller's Tales,https://www.ttgames.com/,,1
Twitter,https://twitter.com/,,1
Uber,https://www.uber.com/,,1
UKFast,https://www.ukfast.co.uk/,,0
UKRI ,https://www.ukri.org/,,1
Ultra electronics,https://www.ultra.group/,,1
Union Bank of Switzerland,https://www.ubs.com/,,1
United Biscuits,https://www.unitedbiscuits.com/,,1
Universal Music Group,https://www.universalmusic.com/,,1
Visa,https://www.visa.co.uk/,,1
Vistorm,http://www.vistorm.com/,,1
Vodafone,https://www.vodafone.co.uk/,,1
Wakelet,https://wakelet.com/,,1
Wellcome Sanger Institute​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,https://www.sanger.ac.uk/,,1
Yelp,https://www.yelp.co.uk/,,1
Zuhlke Engineering Ltd,https://www.zuehlke.com/,,1
